date,weight_kg,trend_kg,body_fat_pct,waist_cm,notes
2026-01-05,68.89,68.89,,,weekly weigh-in
2026-01-12,67.10,68.00,,,weekly weigh-in
2026-01-19,66.65,67.55,,,weekly weigh-in
2026-01-26,66.05,67.17,,,weekly weigh-in
2026-02-02,64.95,66.73,,,weekly weigh-in
2026-02-09,64.35,66.33,,,weekly weigh-in
2026-02-16,63.45,65.92,,,weekly weigh-in
2026-02-23,62.90,65.06,,,weekly weigh-in
2026-03-02,62.30,64.38,,,weekly weigh-in
2026-03-09,62.10,63.73,,,weekly weigh-in
2026-03-16,61.05,63.01,,,weekly weigh-in
2026-03-27,62.50,62.50,,,post-trip weigh-in
2026-03-28,61.55,61.55,,,check-in
2026-04-04,61.2,61.2,,,check-in
2026-04-06,62.2,62.2,,,post-weekend check-in
2026-04-11,61.55,61.55,,,corrected check-in
2026-04-12,61.2,61.2,,,check-in
2026-04-13,60.85,60.85,,,check-in
2026-04-18,60.6,60.6,,,check-in
2026-04-27,60.9,60.9,,,check-in
2026-05-03,62.9,62.9,,,check-in
2026-05-09,61.9,61.9,,,check-in
2026-05-10,61.75,61.75,,,check-in
2026-05-15,61.25,61.25,,,check-in
